Months since started cubing	Months since started speedcubing	Best 3x3 single	Best 3x3 Ao5	Best 3x3 Ao12	Best 3x3 Ao100	Known algorithm sets
36	24	9.64	12.39	13.61	14.84	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
72	72				10.2	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, ELL, CLL, CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), 2GLL - T, 2GLL - U, 2GLL - L, 2GLL - H, 2GLL - Pi, 2GLL - S, 2GLL - AS, ZBLL - T, ZBLL - U, WV
120	36	13.51	18.37	19.36	20.16	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
120	48	9.58	12.72	14.09	15.5	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
72	72	6.43	7.65	9.33	10.51	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), 2GLL - T, 2GLL - H, WV, CLS
36	18	8.62	12.08	12.69	13.8	OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - H (Doublesune)
48	36	14.54	20.41	22.61	24.82	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
24	24	11.06	16.3	18.42	18.94	CMLL
72	24	8.27	11.6	12.64	13.44	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), CMLL, COLL - H (Doublesune), COLL - S (Sune)
12	24	12.47	15.5	17.6		OLL, PLL
36	36	20.13	25.22	26.25	28.2	Just whatever I have for beginners method, EPLL (PLL for edges, i.e. U/H/Z perms), Corner preserving Edge OLL, non-Edge preserving Corner OLL, some CMLL Cases
180	180	20.8	25	26.2		PLL
48	48	9.31	11.89			Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno)
1	1	32.55	37.63	39.87	43.4	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
24	24	4.77			10.77	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), VHLS (intuitive is fine), WV, SV
36	36	8.49	10.41	11.68	12.34	CMLL
120	12	39.9	54.24	1:10.71		Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
36	24	10.08	13.35	13.39	15.93	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
60	60	9.9	13.14	13.97		OLL, PLL, VHLS (intuitive is fine)
72	36	37.05	42.81	45.11		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
36	36	10.79	14.45	15.41	16.55	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - H (Doublesune)
72	6	15.02	21.06	22.13	24.76	OLL, PLL
180	120	21	32	33		PLL, CMLL
72	6	19.98	30.03	31.63	35.29	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - L (Bowtie), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
60	12	9.91	14.57	15.34	16.6	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
18	1	8.96	12.45	15.67	19.45	OLL, PLL
120	12	10.79	13.15	14.19	15.61	OLL, PLL
60	60					OLL, PLL
24	24	7.36	11.2	11.95	12.83	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
24	3	31	42	45	46	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
