Video link	Solve # within video	Solve time	Cross frac	F2L frac	LL frac	Pause frac	TPS	TPS without pauses	Regrips	Rotations	Tilts	Unneeded AUFs	Cross moves	F2L moves	LL moves	Cross pauses (s)	Pause before F2L (s)	F2L pauses (s)	LL pauses (s)	Cross TPS	F2L TPS	LL TPS	Cross pause frac	F2L pause frac	LL pause frac
https://www.youtube.com/watch?v=oW7UlqDXR4Y	1	16.20	0.0741	0.5082	0.4177	0.3169	5.00	7.32	16	2	3	1	6	27	48	0.00	1.20	4.00	1.13	5.00	3.28	7.09	0.0000	0.4858	0.1675
https://www.youtube.com/watch?v=oW7UlqDXR4Y	2	17.27	0.1409	0.4517	0.4073	0.3012	4.98	7.13	26	9	2	0	6	38	42	1.40	0.67	2.30	1.50	2.47	4.87	5.97	0.5753	0.2949	0.2133
https://www.youtube.com/watch?v=oW7UlqDXR4Y	3	15.90	0.1405	0.5031	0.3564	0.4067	4.59	7.74	16	3	4	0	7	30	36	0.93	0.77	4.13	1.40	3.13	3.75	6.35	0.4179	0.5167	0.2471
https://www.youtube.com/watch?v=oW7UlqDXR4Y	4	14.87	0.1345	0.5426	0.3229	0.3498	4.57	7.03	20	8	2	0	6	30	32	0.67	1.37	2.87	1.67	3.00	3.72	6.67	0.3333	0.3554	0.3472
https://www.youtube.com/watch?v=oW7UlqDXR4Y	5	16.37	0.1100	0.4175	0.4725	0.3279	5.44	8.09	19	5	2	1	6	30	53	0.30	1.00	3.17	1.90	3.33	4.39	6.85	0.1667	0.4634	0.2457
https://www.youtube.com/watch?v=l6B2rh7tem4	1	9.00	0.1667	0.5074	0.3259	0.2370	6.56	8.59	11	3	0	1	6	30	23	0.27	0.23	1.00	0.87	4.00	6.57	7.84	0.1778	0.2190	0.2955
https://www.youtube.com/watch?v=l6B2rh7tem4	2	13.87	0.1010	0.5625	0.3365	0.2813	4.04	5.62	24	7	0	1	7	27	22	0.47	0.47	2.50	0.93	5.00	3.46	4.71	0.3333	0.3205	0.2000
https://www.youtube.com/watch?v=l6B2rh7tem4	3	15.70	0.3185	0.3864	0.2951	0.3715	3.38	5.37	17	3	1	1	4	21	28	2.27	0.00	2.23	1.33	0.80	3.46	6.04	0.4533	0.3681	0.2878
https://www.youtube.com/watch?v=l6B2rh7tem4	4	15.73	0.1610	0.4915	0.3475		3.81		12	4	0	3	8	29	23					3.16	3.75	4.21			
https://www.youtube.com/watch?v=l6B2rh7tem4	5	14.30	0.1492	0.4848	0.3660		3.78		9	3	0	0	7	26	21					3.28	3.75	4.01			
https://www.youtube.com/watch?v=QVRfjc4wmjg	1	17.17	0.1223	0.5068	0.3709	0.3184	3.32	4.87	21	3	0	4	7	25	25	0.37	0.67	3.37	1.73	3.33	2.87	3.93	0.1746	0.3870	0.2723
https://www.youtube.com/watch?v=QVRfjc4wmjg	2	21.43	0.1431	0.5272	0.3297	0.4712	3.36	6.35	17	2	0	10	11	29	32	1.40	1.03	6.40	2.30	3.59	2.57	4.53	0.4565	0.5664	0.3255
https://www.youtube.com/watch?v=QVRfjc4wmjg	3	16.40	0.2907	0.4309	0.2785	0.4167	3.48	5.96	20	4	0	1	11	28	18	2.53	0.70	2.47	1.83	2.31	3.96	3.94	0.5315	0.3491	0.4015
https://www.youtube.com/watch?v=mBJ3Mdqantg	1	7.80	0.1197	0.6752	0.2051	0.3077	7.05	10.19	15	6	1	1	7	34	14	0.00	0.37	2.03	0.37	7.50	6.46	8.75	0.0000	0.3861	0.2292
https://www.youtube.com/watch?v=mBJ3Mdqantg	2	8.10	0.1399	0.4856	0.3745	0.2840	8.27	11.55	10	4	1	2	7	32	28	0.00	0.23	1.33	0.97	6.18	8.14	9.23	0.0000	0.3390	0.3187
https://www.youtube.com/watch?v=mBJ3Mdqantg	3	8.13	0.0779	0.5984	0.3238	0.3156	7.25	10.60	10	3	1	2	5	32	22	0.00	0.27	1.70	0.87	7.89	6.58	8.35	0.0000	0.3493	0.3291
https://www.youtube.com/watch?v=mBJ3Mdqantg	4	8.50	0.0549	0.6000	0.3451	0.3059	7.53	10.85	8	4	1	0	4	37	23	0.00	0.17	1.47	1.13	8.57	7.25	7.84	0.0000	0.2876	0.3864
https://www.youtube.com/watch?v=mBJ3Mdqantg	5	13.33	0.1625	0.5650	0.2725	0.4325	5.10	8.99	18	5	2	1	7	36	25	1.00	0.37	3.50	1.27	3.23	4.78	6.88	0.4615	0.4646	0.3486
https://www.youtube.com/watch?v=54_d23hfL4Q	1	9.77	0.0887	0.5563	0.3549	0.1877	6.04	7.44	8	2	0	1	6	30	23	0.00	0.43	1.17	0.67	6.92	5.52	6.63	0.0000	0.2147	0.1923
https://www.youtube.com/watch?v=54_d23hfL4Q	2	9.20	0.0833	0.5109	0.4058	0.2645	6.09	8.28	11	3	0	0	7	27	22	0.00	0.50	1.43	1.00	9.13	5.74	5.89	0.0000	0.3050	0.2679
https://www.youtube.com/watch?v=54_d23hfL4Q	3	8.27	0.0726	0.3992	0.5282	0.2823	6.41	8.93	7	3	0	1	4	21	28	0.00	0.27	0.97	1.37	6.67	6.36	6.41	0.0000	0.2929	0.3130
https://www.youtube.com/watch?v=54_d23hfL4Q	4	10.23	0.1531	0.4886	0.3583	0.2671	5.86	8.00	12	2	2	0	8	29	23	0.00	0.47	1.80	0.93	5.11	5.80	6.27	0.0000	0.3600	0.2545
https://www.youtube.com/watch?v=54_d23hfL4Q	5	9.07	0.1324	0.4301	0.4375	0.4007	5.96	9.94	6	1	3	0	7	26	21	0.00	1.07	2.07	1.57	5.83	6.67	5.29	0.0000	0.5299	0.3950
https://www.youtube.com/watch?v=xfd7-PTmveY	1	12.90	0.1189	0.5013	0.3798	0.3463	5.43	8.30	14	4	0	2	7	34	29	0.37	0.57	2.10	2.00	4.57	5.26	5.92	0.2391	0.3247	0.4082
https://www.youtube.com/watch?v=xfd7-PTmveY	2	14.40	0.0833	0.5694	0.3472	0.4097	4.44	7.53	18	2	1	3	4	30	30	0.43	0.33	3.47	2.00	3.33	3.66	6.00	0.3611	0.4228	0.4000
https://www.youtube.com/watch?v=xfd7-PTmveY	3	14.47	0.1429	0.5622	0.2949	0.5300	4.15	8.82	18	4	1	3	7	34	19	0.50	1.57	5.00	2.17	3.39	4.18	4.45	0.2419	0.6148	0.5078
https://www.youtube.com/watch?v=xfd7-PTmveY	4	13.00	0.1513	0.5538	0.2949	0.3436	4.77	7.27	13	4	1	4	9	28	25	0.00	0.90	3.43	1.03	4.58	3.89	6.52	0.0000	0.4769	0.2696
https://www.youtube.com/watch?v=_-zkWxPcjQ8	1	12.03	0.1136	0.5762	0.3102	0.3490	4.90	7.53	11	3	1	4	7	33	19	0.00	1.73	2.70	1.50	5.12	4.76	5.09	0.0000	0.3894	0.4018
https://www.youtube.com/watch?v=_-zkWxPcjQ8	2	10.70	0.1121	0.5265	0.3614	0.3022	6.17	8.84	10	1	2	1	6	36	24	0.00	0.23	1.83	1.40	5.00	6.39	6.21	0.0000	0.3254	0.3621
https://www.youtube.com/watch?v=_-zkWxPcjQ8	3	12.37	0.0916	0.5337	0.3747	0.3693	4.69	7.44	18	4	0	3	6	32	20	0.00	0.40	2.40	2.17	5.29	4.85	4.32	0.0000	0.3636	0.4676
https://www.youtube.com/watch?v=_-zkWxPcjQ8	4	12.33	0.0946	0.5324	0.3730	0.4595	4.86	9.00	11	1	2	5	5	28	27	0.00	2.43	3.67	2.00	4.29	4.26	5.87	0.0000	0.5584	0.4348
https://www.youtube.com/watch?v=Ez57FebZ_uE	1	25.17	0.1709	0.5364	0.2927	0.6278	2.42	6.51	24	6	4	1	8	31	22	3.37	1.93	8.87	3.57	1.86	2.30	2.99	0.7829	0.6568	0.4842
https://www.youtube.com/watch?v=Ez57FebZ_uE	2	30.10	0.2359	0.4374	0.3267	0.6080	2.33	5.93	31	5	2	1	15	31	24	4.30	1.50	9.40	4.60	2.11	2.35	2.44	0.6056	0.7139	0.4678
https://www.youtube.com/watch?v=Ez57FebZ_uE	3	32.93	0.2227	0.4079	0.3694	0.5709	2.67	6.23	31	8	3	5	15	28	45	4.43	3.97	9.40	4.97	2.05	2.08	3.70	0.6045	0.6998	0.4082
https://www.youtube.com/watch?v=0o4_-KB5QgE	1	11.63	0.0974	0.5702	0.3324	0.4241	6.02	10.45	12	4	0	2	7	32	31	0.53	1.00	3.07	1.33	6.18	4.82	8.02	0.4706	0.4623	0.3448
https://www.youtube.com/watch?v=0o4_-KB5QgE	2	10.80	0.1698	0.4691	0.3611	0.4259	6.20	10.81	13	3	0	2	8	33	26	0.60	0.23	2.47	1.53	4.36	6.51	6.67	0.3273	0.4868	0.3932
https://www.youtube.com/watch?v=0o4_-KB5QgE	3	13.83	0.1277	0.6145	0.2578	0.4410	5.86	10.47	16	5	0	6	9	42	30	0.23	0.60	4.93	0.93	5.09	4.94	8.41	0.1321	0.5804	0.2617
https://www.youtube.com/watch?v=0o4_-KB5QgE	4	10.37	0.1318	0.5241	0.3441	0.4534	6.27	11.47	8	1	1	6	7	31	27	0.00	1.20	3.10	1.60	5.12	5.71	7.57	0.0000	0.5706	0.4486
https://www.youtube.com/watch?v=0o4_-KB5QgE	5	9.13	0.1387	0.5511	0.3102	0.2883	7.34	10.31	4	1	0	1	6	33	28	0.43	0.53	1.53	0.67	4.74	6.56	9.88	0.3421	0.3046	0.2353
https://www.youtube.com/watch?v=-zQiCk29n6I	1	17.70	0.1563	0.5574	0.2863	0.5047	4.24	8.56	27	7	1	7	7	39	29	1.17	1.23	6.23	1.53	2.53	3.95	5.72	0.4217	0.6318	0.3026
https://www.youtube.com/watch?v=-zQiCk29n6I	2	16.77	0.0795	0.5308	0.3897	0.4652	4.47	8.36	29	6	0	7	5	36	34	0.23	1.77	5.13	2.43	3.75	4.04	5.20	0.1750	0.5768	0.3724
https://www.youtube.com/watch?v=-zQiCk29n6I	3	17.03	0.2211	0.4599	0.3190	0.4658	3.82	7.14	33	8	0	3	9	32	24	1.50	0.70	4.17	2.27	2.39	4.09	4.42	0.3982	0.5319	0.4172
https://www.youtube.com/watch?v=-zQiCk29n6I	4	16.30	0.1554	0.5112	0.3333	0.5235	4.79	10.04	32	9	0	6	7	40	31	1.20	2.00	5.10	2.23	2.76	4.80	5.71	0.4737	0.6120	0.4110
https://www.youtube.com/watch?v=PAqRV_l8pNM	1	7.90	0.2152	0.4304	0.3544	0.3080	7.34	10.61	6	2	0	0	9	27	22	0.40	0.40	1.13	0.90	5.29	7.94	7.86	0.2353	0.3333	0.3214
https://www.youtube.com/watch?v=PAqRV_l8pNM	2	12.07	0.1243	0.5856	0.2901	0.4227	6.13	10.62	21	8	1	2	10	35	29	0.43	0.60	3.27	1.40	6.67	4.95	8.29	0.2889	0.4623	0.4000
https://www.youtube.com/watch?v=PAqRV_l8pNM	3	7.33	0.1364	0.4864	0.3773		6.55		7	2	1	0	7	24	17					7.00	6.73	6.14			
https://www.youtube.com/watch?v=PAqRV_l8pNM	4	8.97	0.1413	0.5465	0.3123		7.47		16	4	0	1	7	39	21					5.53	7.96	7.50			
https://www.youtube.com/watch?v=TQZI-gJae_A	1	11.23	0.1602	0.5371	0.3027		6.14		8	1	0	2	10	38	21					5.56	6.30	6.18			
https://www.youtube.com/watch?v=TQZI-gJae_A	2	11.70	0.0912	0.4900	0.4188		5.56		14	3	0	6	5	36	24					4.69	6.28	4.90			
https://www.youtube.com/watch?v=TQZI-gJae_A	3	9.97	0.0803	0.5251	0.3946		6.02		9	2	0	4	5	33	22					6.25	6.31	5.59			
https://www.youtube.com/watch?v=TQZI-gJae_A	4	10.87	0.1166	0.5337	0.3497		6.90		3	0	0	6	7	35	33					5.53	6.03	8.68			
https://www.youtube.com/watch?v=TQZI-gJae_A	5	12.83	0.0571	0.5792	0.3636		5.92		12	1	0	2	6	42	28					8.18	5.65	6.00			
https://www.youtube.com/watch?v=VFrCzYvaYpg	1	24.13	0.1188	0.4903	0.3909		2.61		25	4	6	5	5	31	27					1.74	2.62	2.86			
https://www.youtube.com/watch?v=VFrCzYvaYpg	2	25.03	0.0905	0.6152	0.2943		2.36		26	4	4	4	5	28	26					2.21	1.82	3.53			
https://www.youtube.com/watch?v=VFrCzYvaYpg	3	28.60	0.0886	0.5291	0.3823		2.20		23	4	6	2	6	32	25					2.37	2.11	2.29			
https://www.youtube.com/watch?v=Quu8ThoM0oM	1	10.00	0.1333	0.5133	0.3533		4.70		4	0	0	1	5	26	16					3.75	5.06	4.53			
https://www.youtube.com/watch?v=Quu8ThoM0oM	2	15.30	0.1111	0.5795	0.3094		3.53		12	4	1	3	6	32	16					3.53	3.61	3.38			
https://www.youtube.com/watch?v=Quu8ThoM0oM	3	13.27	0.1482	0.4774	0.3744		5.05		10	2	0	3	8	30	29					4.07	4.74	5.84			
https://www.youtube.com/watch?v=Quu8ThoM0oM	4	15.70	0.2378	0.4565	0.3057		4.65		8	2	0	3	10	36	27					2.68	5.02	5.63			
https://www.youtube.com/watch?v=PRFRLIELTss	1	15.73	0.1271	0.4894	0.3835		6.29		26	8	4	3	11	40	48					5.50	5.19	7.96			
https://www.youtube.com/watch?v=PRFRLIELTss	2	14.13	0.0684	0.5448	0.3868		5.45		17	6	3	3	5	42	30					5.17	5.45	5.49			
https://www.youtube.com/watch?v=PRFRLIELTss	3	13.60	0.2108	0.5760	0.2132		6.40		20	6	3	6	7	54	26					2.44	6.89	8.97			
https://www.youtube.com/watch?v=PRFRLIELTss	4	14.73	0.1561	0.4548	0.3891		6.52		20	7	2	2	8	40	48					3.48	5.97	8.37			
https://www.youtube.com/watch?v=PRFRLIELTss	5	14.07	0.1209	0.4739	0.4052		5.83		22	6	3	4	3	30	49					1.76	4.50	8.60			
https://www.youtube.com/watch?v=ow6fc4RTJBc	1	23.37	0.1398	0.4793	0.3809		3.34		38	14	0	1	9	32	37					2.76	2.86	4.16			
